customer_id,age,monthly_income,tenure_years,plan_type,support_calls,signup_date,churn
469,33.6,23165.58,1.28,Basic,4,2021-12-10,1
470,33.1,29244.18,6.9,Basic,0,2020-11-16,0
471,36.7,28984.14,0.07,Standard,2,2020-06-27,1
472,18.0,18216.33,3.27,Basic,1,2022-06-15,0
473,21.8,18068.74,9.92,Standard,0,2020-08-06,0
474,56.4,34858.06,2.46,Premium,1,2022-02-27,0
475,59.7,55761.82,8.29,Basic,2,2024-03-31,1
476,37.0,25659.2,0.16,Premium,5,2021-05-06,1
477,46.9,25082.29,1.63,Basic,1,2020-03-01,0
478,43.7,31563.08,0.9,Premium,3,2022-12-13,1
479,76.9,73563.33,3.94,Basic,1,2024-08-30,0
480,53.4,49549.69,11.94,Standard,5,2021-06-21,0
481,38.5,27982.77,0.89,Basic,2,2022-04-27,0
482,28.5,20032.75,3.19,Basic,0,2022-09-14,0
483,20.7,15000.0,0.66,Standard,1,2020-03-05,0
484,42.4,50567.23,2.5,Standard,2,2024-06-23,0
485,30.9,27794.52,1.87,Basic,0,2021-08-08,1
486,22.9,21786.7,10.73,Basic,1,2024-09-23,0
487,32.2,,2.81,Standard,3,2020-06-19,0
488,27.0,23527.45,1.29,Standard,0,2023-07-20,0
489,60.2,46124.22,0.36,Premium,0,2024-09-18,0
490,50.6,38892.94,0.49,Standard,2,2021-06-18,0
491,39.9,31350.65,0.77,Premium,2,2023-11-15,1
492,57.8,,0.87,Standard,2,2021-11-23,1
493,40.9,38563.77,5.7,Basic,4,2023-09-12,1
494,29.7,,2.47,Basic,3,2020-04-17,0
495,58.3,52483.11,2.22,Standard,1,2023-03-31,0
496,46.5,36527.8,0.37,Standard,3,2022-03-24,0
497,27.6,22671.52,5.9,Basic,1,2022-10-01,0
498,37.7,15000.0,3.85,Basic,3,2021-03-27,1
499,29.5,30924.69,0.21,Premium,3,2023-05-14,1
500,23.4,21497.03,3.69,Standard,2,2021-08-12,0
501,51.1,48875.39,2.35,Basic,3,2022-11-05,0
502,62.9,27160.36,0.26,Basic,2,2020-11-22,0
503,23.2,35280.75,1.84,Basic,3,2021-08-30,0
504,46.8,36287.79,1.99,Basic,1,2021-10-20,1
505,32.2,34619.29,0.54,Basic,3,2020-01-02,1
506,34.2,,8.74,Basic,2,2022-10-30,0
507,32.9,31215.21,5.69,Standard,4,2021-03-09,0
508,29.6,15278.36,3.32,Basic,3,2020-05-04,0
509,40.6,27475.66,1.86,Standard,1,2023-01-09,0
510,30.0,39335.13,1.59,Premium,1,2021-04-29,0
511,43.2,33070.93,3.16,Basic,2,2021-10-13,0
512,39.4,33257.18,2.37,Standard,4,2023-03-19,1
513,37.1,36666.64,0.19,Basic,2,2022-03-10,1
514,29.1,27252.84,2.16,Premium,3,2022-05-22,0
515,33.1,27666.35,4.93,Basic,1,2023-09-25,0
516,49.1,42171.44,1.84,Standard,2,2020-05-08,1
517,46.0,56036.13,0.16,Standard,4,2021-03-13,0
518,28.3,22154.52,4.63,Basic,4,2022-01-20,1
519,41.2,34562.38,0.67,Basic,1,2021-05-15,0
520,49.0,47618.55,0.9,Standard,3,2022-12-17,0
521,20.0,24817.92,0.54,Standard,0,2023-05-06,0
522,46.5,46712.5,1.2,Basic,2,2020-07-29,0
523,32.0,30748.65,4.24,Standard,5,2022-06-20,1
524,46.8,28333.71,2.2,Basic,1,2020-02-14,1
525,30.8,37740.16,0.69,Standard,2,2023-01-25,1
526,18.3,15000.0,6.31,Basic,2,2023-07-26,1
527,20.5,18796.68,6.35,Premium,0,2021-06-18,0
528,40.6,26427.41,6.13,Basic,3,2023-12-04,0
529,43.1,33980.23,0.82,Basic,1,2021-04-05,0
530,29.1,25948.66,1.8,Basic,4,2021-01-25,0
531,47.7,40701.35,12.6,,5,2022-12-03,0
532,20.1,19424.77,4.44,Standard,3,2020-01-27,0
533,39.2,44275.32,0.08,Basic,2,2022-03-04,1
534,25.5,24002.52,0.2,Standard,0,2023-01-25,0
535,32.2,23789.12,1.87,Basic,3,2022-09-01,1
536,40.6,40167.72,7.2,Basic,1,2021-07-01,0
537,29.7,33255.8,2.32,Basic,1,2021-09-12,0
538,35.4,18487.4,2.07,Basic,1,2021-07-20,0
539,52.1,46439.61,0.33,Basic,1,2021-12-04,1
540,33.1,32071.22,3.21,Basic,2,2023-05-27,1
541,50.0,37642.14,5.18,Basic,2,2020-07-03,1
542,26.4,32160.47,1.44,Basic,1,2022-12-28,0
543,46.4,35885.68,4.48,Standard,0,2023-02-27,1
544,57.3,46843.67,10.01,Standard,5,2024-05-09,0
545,18.0,15000.0,0.68,Basic,0,2024-06-20,0
546,30.4,24474.44,2.22,Basic,0,2022-04-27,0
547,46.9,28769.69,1.02,Premium,1,2021-08-21,0
548,37.6,18530.36,4.72,Standard,1,2022-03-16,0
549,44.5,48319.04,2.59,Standard,3,2024-07-12,1
550,32.8,19426.05,3.02,Basic,1,2024-10-09,0
551,41.0,24900.12,4.8,Standard,0,2023-09-19,0
552,38.1,15000.0,1.51,,1,2023-03-23,1
553,54.0,38099.01,7.4,Standard,4,2024-04-19,1
554,43.1,23857.72,2.28,Premium,2,2020-03-19,0
555,44.1,48377.11,0.52,Basic,0,2021-08-01,1
556,35.1,36124.52,3.57,Basic,3,2021-02-16,0
557,34.1,21813.78,4.73,Standard,1,2021-06-29,0
558,34.8,45866.93,1.14,Standard,1,2024-06-20,1
559,44.7,43640.86,5.84,Basic,0,2020-06-17,0
560,34.9,25359.9,7.1,Basic,3,2021-11-11,0
561,43.5,15000.0,0.97,Basic,1,2024-08-13,0
562,64.9,70251.39,12.32,Basic,0,2021-08-05,0
563,50.5,29246.22,0.45,Standard,2,2021-05-29,0
564,36.1,15706.98,0.68,Standard,3,2023-08-30,0
565,54.4,51712.22,0.61,Basic,1,2020-02-01,0
566,35.1,47600.5,6.73,Basic,5,2020-10-13,0
567,18.0,25474.18,3.19,Basic,3,2021-08-16,1
568,27.9,26833.64,0.49,Basic,3,2022-12-02,0
569,18.0,19158.03,1.74,Standard,4,2021-09-08,1
570,35.8,35452.8,2.87,Premium,1,2022-10-21,0
571,40.2,38248.25,0.26,Standard,2,2024-05-15,0
572,60.1,50343.33,6.42,Basic,2,2020-09-26,0
573,43.9,35972.11,4.88,Premium,2,2023-04-18,0
574,37.4,29395.89,2.11,Standard,2,2024-10-25,0
575,50.0,33930.58,10.25,Standard,3,2021-06-01,1
576,18.0,15000.0,1.62,Basic,3,2023-01-31,0
577,42.8,20718.25,12.43,Basic,2,2022-10-30,0
578,49.3,38613.59,3.31,Basic,3,2021-08-05,0
579,22.3,15000.0,3.02,Basic,1,2023-01-18,0
580,53.7,34151.32,0.54,Basic,3,2020-08-13,1
581,44.1,36688.72,6.41,Basic,5,2021-10-31,0
582,35.0,39149.25,1.67,Basic,0,2024-10-29,1
583,47.6,45421.24,0.53,Standard,1,2022-07-05,0
584,67.2,41234.65,0.04,Basic,2,2020-05-05,0
585,42.2,25828.89,2.46,Basic,0,2022-08-13,0
586,43.0,,2.25,Premium,2,2023-05-17,0
587,34.5,19730.24,3.81,Premium,0,2023-01-25,0
588,29.8,22044.43,6.63,Standard,2,2020-03-14,0
589,50.0,44371.64,0.25,Premium,1,2024-07-08,0
590,29.7,16034.84,3.94,Standard,3,2023-04-29,1
591,40.9,33530.04,0.62,Premium,2,2024-09-01,0
592,34.3,16742.28,5.86,Basic,5,2024-10-05,0
593,45.7,31787.27,5.13,Basic,3,2020-02-25,0
594,44.0,37761.41,2.33,Basic,1,2021-12-20,0
595,52.5,29216.43,3.72,Basic,1,2021-07-06,1
596,33.9,30627.64,1.13,Basic,3,2020-02-01,0
597,36.8,29252.1,1.91,Standard,0,2024-03-30,0
598,28.3,27023.79,5.17,Standard,0,2021-07-27,0
599,34.7,29526.1,1.84,Standard,1,2021-10-28,0
600,44.5,46535.21,1.33,,1,2020-10-10,0
1,46.0,,0.13,Basic,3,2024-11-14,0
